Section_code,Division_code,Group_code,Class_code,Item_code,,,,,,Section_name,Division_name,Group_name,Class_name,Item_name
SECTION C,10,106,1061,10613,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Grain Mill Products,Processing of pepper seeds
SECTION C,10,106,1061,10614,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Grain Mill Products,Provision of milling services
SECTION C,10,106,1061,10619,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Grain Mill Products,"Manufacture of grain mill products n.e.c. (e.g. pop corn, pulse preparation, rolled oats)"
SECTION C,10,106,1062,10620,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Starches and Starch Products,Manufacture of starches and starch products
SECTION C,10,107,1071,10711,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Bakery Products,Manufacture of biscuits (including wafers and cones)
SECTION C,10,107,1071,10712,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Bakery Products,"Manufacture of bread, cakes and confectionery (excluding frozen bakery products)"
SECTION C,10,107,1071,10719,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Bakery Products,Manufacture of bakery products n.e.c.
SECTION C,10,107,1072,10720,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Sugar,Manufacture of sugar and sugar products
SECTION C,10,107,1073,10731,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Cocoa, Chocolate and Non-chocolate Confectionery",Manufacture of cocoa and chocolate powder from beans
SECTION C,10,107,1073,10732,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Cocoa, Chocolate and Non-chocolate Confectionery",Manufacture of chocolate and chocolate products
SECTION C,10,107,1073,10733,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Cocoa, Chocolate and Non-chocolate Confectionery","Manufacture of non-chocolate confectionery (e.g. sweets, toffees, crystalised fruits, chewing gums)"
SECTION C,10,107,1074,10740,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Macaroni, Noodles, Vermicelli and Other Related Products","Manufacture of macaroni, noodles, vermicelli and other related products"
SECTION C,10,107,1075,10750,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Prepared Meals and Dishes,Manufacture of cooked-food preparations (e.g. frozen dinners)
SECTION C,10,107,1076,10761,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Coffee, Tea and Related Products",Manufacture of instant beverages
SECTION C,10,107,1076,10762,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Coffee, Tea and Related Products",Processing of coffee seeds
SECTION C,10,107,1076,10763,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Coffee, Tea and Related Products",Manufacture of coffee powder
SECTION C,10,107,1076,10764,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Coffee, Tea and Related Products",Manufacture of tea (including processing of tea leaves)
SECTION C,10,107,1076,10765,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,"Manufacture of Coffee, Tea and Related Products",Manufacture of non-dairy creamer
SECTION C,10,107,1079,10791,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Other Food Products n.e.c.,"Manufacture of sauces including soya bean sauce (e.g. tomato sauce, chilli sauce)"
SECTION C,10,107,1079,10792,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Other Food Products n.e.c.,Manufacture of soya bean products except soya bean sauce and soya bean milk
SECTION C,10,107,1079,10793,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Other Food Products n.e.c.,Manufacture and processing of spices (including curry powder and spice extracts)
SECTION C,10,107,1079,10794,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Other Food Products n.e.c.,"Manufacture of chips, crackers and other titbits (excluding biscuits and confectionery)"
SECTION C,10,107,1079,10799,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF OTHER FOOD PRODUCTS,Manufacture of Other Food Products n.e.c.,Manufacture of other food products n.e.c. (except food chemicals and additives)
